City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
turukhansk,65.8167,87.9833,-9.09,98.0,100.0,4.18,RU,2021-04-17 01:04:19
puerto ayora,-0.7393,-90.3518,75.99,97.0,88.0,1.99,EC,2021-04-17 01:04:19
ponta do sol,32.6667,-17.1,60.01,72.0,6.0,1.01,PT,2021-04-17 01:04:20
san lazaro,18.0387,-88.6622,82.4,74.0,40.0,13.8,BZ,2021-04-17 01:04:21
shenjiamen,29.9576,122.298,60.8,81.0,98.0,15.32,CN,2021-04-17 01:04:21
kruisfontein,-34.0033,24.7314,53.01,78.0,0.0,1.01,ZA,2021-04-17 01:04:22
batagay,67.6333,134.6333,20.66,79.0,100.0,10.51,RU,2021-04-17 01:04:22
iqaluit,63.7506,-68.5145,14.0,73.0,75.0,16.11,CA,2021-04-17 01:01:14
pisco,-13.7,-76.2167,68.0,83.0,0.0,8.05,PE,2021-04-17 01:04:23
kamenka,51.3223,42.7678,53.01,55.0,43.0,5.41,RU,2021-04-17 01:01:03
sao joao da barra,-21.6403,-41.0511,73.17,79.0,9.0,9.13,BR,2021-04-17 01:04:25
punta arenas,-53.15,-70.9167,46.4,81.0,75.0,24.16,CL,2021-04-17 01:00:22
ruidoso,33.3317,-105.673,50.0,23.0,75.0,17.27,US,2021-04-17 01:04:26
rikitea,-23.1203,-134.9692,77.38,71.0,100.0,10.27,PF,2021-04-17 01:04:26
bathsheba,13.2167,-59.5167,80.6,65.0,40.0,18.41,BB,2021-04-17 01:04:27
zapolyarnyy,69.4154,30.8136,37.4,81.0,90.0,20.71,RU,2021-04-17 01:04:27
busselton,-33.65,115.3333,64.0,72.0,8.0,1.01,AU,2021-04-17 01:04:28
carnarvon,-24.8667,113.6333,78.78,37.0,0.0,10.83,AU,2021-04-17 00:58:43
kapaa,22.0752,-159.319,75.2,69.0,90.0,9.22,US,2021-04-17 01:04:30
albany,42.6001,-73.9662,41.0,79.0,98.0,6.96,US,2021-04-17 01:01:00
diego de almagro,-26.3667,-70.05,60.51,54.0,0.0,1.3,CL,2021-04-17 01:04:31
thompson,55.7435,-97.8558,48.2,34.0,20.0,12.66,CA,2021-04-17 01:04:26
bubaque,11.2833,-15.8333,76.8,75.0,48.0,17.87,GW,2021-04-17 01:04:32
dikson,73.5069,80.5464,-8.41,100.0,100.0,3.65,RU,2021-04-17 01:04:33
ushuaia,-54.8,-68.3,42.8,75.0,75.0,6.91,AR,2021-04-17 01:04:04
